,Restaurant,Ranking,Reviews,Price,Range_price,Cousine_type,Address,Phone,Site,Area,Near,Url
238,Trattoria Verdi,"5,0 ",320 recensioni,€€-€€€,,,"Via Giuseppe Verdi 12 Rosso, 50122, Firenze Italia",+39 055 1993 8703,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d17630195-Reviews-Trattoria_Verdi-Florence_Tuscany.html
239,Raviolo è Raviolo,"5,0 ",584 recensioni,€,,,"Via dei Benci, 49r, 50122, Firenze Italia",+39 055 248 0189,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d17383804-Reviews-Raviolo_e_Raviolo-Florence_Tuscany.html
240,La Buchetta Food & Wine restaurant,"4,5 ",3.180 recensioni,€€-€€€,,,"Via De' Benci 3/3a, 50122, Firenze Italia",+39 055 217833,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d1962917-Reviews-La_Buchetta_Food_Wine_restaurant-Florence_Tuscany.html
241,Culinaria de Gustibus Bistro,"4,5 ",425 recensioni,€€-€€€,,,"Piazza Torquato Tasso, 13 Red Between Trattoria Il Tranvai and Galateria La Sorbettiera, 50124, Firenze Italia",+39 055 229494,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d7355512-Reviews-Culinaria_de_Gustibus_Bistro-Florence_Tuscany.html
242,Amici di Ponte Vecchio,"4,5 ",1.568 recensioni,€,,,"Via Dei Bardi 39, 50125, Firenze Italia",+39 055 285301,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d2243897-Reviews-Amici_di_Ponte_Vecchio-Florence_Tuscany.html
243,VETRERIA Ristorante Pizzeria Boutique,"5,0 ",1.101 recensioni,€€-€€€,,,"Via del Proconsolo 30 r - 32 r Incrocio Piazza del Duomo, 50122, Firenze Italia",+39 055 003 0028,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d16856433-Reviews-VETRERIA_Ristorante_Pizzeria_Boutique-Florence_Tuscany.html
244,Godi Fiorenza Food Court,"4,5 ",88 recensioni,€€-€€€,,,"Via Cavour 26-28, 50123, Firenze Italia",+39 055 016 7061,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d17298407-Reviews-Godi_Fiorenza_Food_Court-Florence_Tuscany.html
245,Schiacciamatta,"5,0 ",257 recensioni,€,,,"Borgo la croce 68r, 50122, Firenze Italia",+39 055 493 7714,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d15695049-Reviews-Schiacciamatta-Florence_Tuscany.html
246,Ristorante da Lino,"4,5 ",1.157 recensioni,€€-€€€,,,"Via Sant'Elisabetta 6r, 50122, Firenze Italia",+39 055 284579,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d1536045-Reviews-Ristorante_da_Lino-Florence_Tuscany.html
247,La Bohème Restaurant & Pizza,"5,0 ",1.452 recensioni,€€-€€€,,,"Via Guelfa 30 San Lorenzo, 50129, Firenze Italia",+39 055 532 0344,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d14023513-Reviews-La_Boheme_Restaurant_Pizza-Florence_Tuscany.html
248,Trattoria  de' Guicciardini,"5,0 ",108 recensioni,,,,"Via de' Guicciardini, 66 A meta'Tra Ponte vecchio e Piazza Pitti, 50125, Firenze Italia",+39 055 218617,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d21048643-Reviews-Trattoria_de_Guicciardini-Florence_Tuscany.html
249,Il Vezzo,"4,5 ",1.033 recensioni,€€-€€€,,,"Via Guelfa 58R, 50129, Firenze Italia",+39 055 281096,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d5000722-Reviews-Il_Vezzo-Florence_Tuscany.html
250,Nerocarbone Firenze,"5,0 ",102 recensioni,€€-€€€,,,"Via del Parione 43/49r Incrocio con Via della Vigna Nuova, 50123, Firenze Italia",+39 055 295439,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d17441383-Reviews-Nerocarbone_Firenze-Florence_Tuscany.html
251,Trattoria I Fratellini,"5,0 ",795 recensioni,€€-€€€,,,"Via Ghibellina 27 Rosso, 50122, Firenze Italia",+39 055 200 1371,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d3370189-Reviews-Trattoria_I_Fratellini-Florence_Tuscany.html
252,Tripperia Pollini,"5,0 ",405 recensioni,€,,,"Via de'Macci, angolo con Borgo la Croce. A Firenze., Firenze Italia",+39 334 778 2350,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d3726456-Reviews-Tripperia_Pollini-Florence_Tuscany.html
253,Sogni e Sapori Avocaderia,"4,5 ",614 recensioni,€,,,"Via Dei Cimatori 22r, 50122, Firenze Italia",+39 339 612 4909,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d2524953-Reviews-Sogni_e_Sapori_Avocaderia-Florence_Tuscany.html
254,Le Volte,"5,0 ",239 recensioni,€€-€€€,,,"Via Dell' Orto 5r San Frediano, 50124, Firenze Italia",+39 055 228 6535,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d13297244-Reviews-Le_Volte-Florence_Tuscany.html
255,SandwiChic,"5,0 ",2.390 recensioni,€,,,"Via San Gallo 3/r, 50129, Firenze Italia",+39 055 281157,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d6740021-Reviews-SandwiChic-Florence_Tuscany.html
256,Adagio Firenze,"5,0 ",513 recensioni,€€-€€€,,,"Via de' Macci 79 rosso, 50122, Firenze Italia",+39 055 051 7094,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d13486018-Reviews-Adagio_Firenze-Florence_Tuscany.html
257,Ribeo,"5,0 ",125 recensioni,€€-€€€,,,"Via Bonifacio Lupi 5 AR Accanto Hotel Cimabue, 50129, Firenze Italia",+39 391 720 0493,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d15606046-Reviews-Ribeo-Florence_Tuscany.html
258,Chianineria Trattoria dall'Oste - Duomo,"5,0 ",3.260 recensioni,€€-€€€,,,"Borgo San Lorenzo 31 Via luigi Alamanni3/5 r, 50123, Firenze Italia",+39 055 202 6862,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d15619497-Reviews-Chianineria_Trattoria_dall_Oste_Duomo-Florence_Tuscany.html
259,Auditore Ristorante Braceria,"4,5 ",1.734 recensioni,€€-€€€,,,"Piazza del Grano 13R, 50122, Firenze Italia",+39 055 217320,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d13124445-Reviews-Auditore_Ristorante_Braceria-Florence_Tuscany.html
260,Angel Roofbar & Dining,"5,0 ",177 recensioni,€€-€€€,,,"Via Calimala 2 sul 5º piano dell'Hotel Calimala, 50123, Firenze Italia",+39 339 411 3863,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d18455266-Reviews-Angel_Roofbar_Dining-Florence_Tuscany.html
261,Ristorante Il Ricettario,"5,0 ",1.242 recensioni,€€-€€€,,,"Via Lambertesca 22r, 50122, Firenze Italia",+39 055 389 4213,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d13954659-Reviews-Ristorante_Il_Ricettario-Florence_Tuscany.html
262,Osteria de Pitti,"4,5 ",312 recensioni,€€-€€€,,,"Piazza Dei Pitti 32/33/r Palazzo Pitti, 50125, Firenze Italia",+39 055 281143,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d19748343-Reviews-Osteria_de_Pitti-Florence_Tuscany.html
263,Nobile Bistrò,"4,5 ",557 recensioni,€,,,"Piazza di Madonna Degli Aldobrandini 13/R, 50123, Firenze Italia",+39 338 967 0207,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d7618336-Reviews-Nobile_Bistro-Florence_Tuscany.html
264,Caffe Concerto Paszkowski,"5,0 ",169 recensioni,€€-€€€,,,"Piazza della Repubblica 31-35r, 50123, Firenze Italia",+39 055 210236,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d696483-Reviews-Caffe_Concerto_Paszkowski-Florence_Tuscany.html
265,Melloo,"5,0 ",477 recensioni,€€-€€€,,,"Via Luigi Gordigiani 4r, 50127, Firenze Italia",+39 333 758 1154,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d17600356-Reviews-Melloo-Florence_Tuscany.html
266,Cantinetta delle Terme,"4,5 ",828 recensioni,€€-€€€,,,"Via delle Terme, 14/R, 50123, Firenze Italia",+39 055 239 6084,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d11543921-Reviews-Cantinetta_Delle_Terme-Florence_Tuscany.html
267,Lo Scudo,"4,5 ",671 recensioni,€€-€€€,,,"Via del Oriuolo - 53r Duomo, 50122, Firenze Italia",+39 055 260 8842,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d1916948-Reviews-Lo_Scudo-Florence_Tuscany.html
268,Trattoria San Pierino,"4,5 ",305 recensioni,€€-€€€,,,"Via Dell'Oriuolo 18/r, 50122, Firenze Italia",+39 055 200 1225,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d12946441-Reviews-Trattoria_San_Pierino-Florence_Tuscany.html
269,Aurelio il Re del lampredotto,"5,0 ",644 recensioni,€,,,"Piazza Bernardo Tanucci SNC, 50134, Firenze Italia",+39 333 100 3967,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d4468500-Reviews-Aurelio_I_Re_del_Lampredotto-Florence_Tuscany.html
270,Ristorante La Falterona,"4,5 ",1.384 recensioni,€€-€€€,,,"Via Zannoni10-12 R, 50123, Firenze Italia",+39 055 216112,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d1580396-Reviews-Ristorante_La_Falterona-Florence_Tuscany.html
271,La Bistecca - Osteria Fiorentina,"4,5 ",981 recensioni,€€-€€€,,,"Piazza della Repubblica, 12, 50123, Firenze Italia",+39 055 277 6364,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d17406269-Reviews-La_Bistecca_Osteria_Fiorentina-Florence_Tuscany.html
272,Bisteccheria Santa Croce,"4,5 ",1.134 recensioni,€€-€€€,,,"Largo Piero Bargellini 2 Piazza Santa Croce, 50122, Firenze Italia",+39 055 263 8701,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d16805642-Reviews-Bisteccheria_Santa_Croce-Florence_Tuscany.html
273,Salumeria Verdi - Pino's Sandwiches,"4,5 ",1.247 recensioni,€,,,"Via Giuseppe Verdi, 36, 50122, Firenze Italia",+39 055 244517,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d2348534-Reviews-Salumeria_Verdi_Pino_s_Sandwiches-Florence_Tuscany.html
274,Braceria dei Tre Amici,"4,5 ",444 recensioni,€€-€€€,,,"Via del Proconsolo 73 r, 50122, Firenze Italia",+39 055 051 5565,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d17383859-Reviews-Braceria_dei_Tre_Amici-Florence_Tuscany.html
275,Salino Restaurant & Wine Bar,"5,0 ",126 recensioni,€€-€€€,,,"Via Ghibellina 69/R, 50122, Firenze Italia",+39 055 234 0588,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d13987029-Reviews-Salino_Restaurant_Wine_Bar-Florence_Tuscany.html
276,Osteria del Pavone,"5,0 ",358 recensioni,€€-€€€,,,"Via del Pavone, 1/R, 50125, Firenze Italia",+39 055 268134,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d13123970-Reviews-Osteria_del_Pavone-Florence_Tuscany.html
277,La Nicchia Winebar Enoteca Bistrot,"5,0 ",300 recensioni,€€-€€€,,,"Lungarno Amerigo Vespucci 34/r between Piazza Goldoni and Piazza Ognissanti, 50123, Firenze Italia",+39 331 888 3047,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d11885183-Reviews-La_Nicchia_Winebar_Enoteca_Bistrot-Florence_Tuscany.html
278,Cucina Conviviale,"4,5 ",1.693 recensioni,€€-€€€,,,"Via del Cronaca 16r, 50142, Firenze Italia",+39 055 246 6318,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d12597899-Reviews-Cucina_Conviviale-Florence_Tuscany.html
279,Osteria del Proconsolo,"4,5 ",4.728 recensioni,€€-€€€,,,"Via del Proconsolo, 59/r, 50122, Firenze Italia",+39 055 213069,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d3245371-Reviews-Osteria_del_Proconsolo-Florence_Tuscany.html
280,Gusta Trippa,"5,0 ",122 recensioni,€,,,"Via Sant'Elisabetta 7r, 50122, Firenze Italia",+39 339 742 5692,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d10026612-Reviews-Gusta_Trippa-Florence_Tuscany.html
281,Indian Palace,"5,0 ",636 recensioni,€,,,"Via Guelfa 96R, 50129, Firenze Italia",+39 055 527 2498,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d14136509-Reviews-Indian_Palace-Florence_Tuscany.html
282,B.O.r.G.O.,"5,0 ",205 recensioni,€€-€€€,,,"Borgo San Frediano 145r, 50124, Firenze Italia",+39 055 223449,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d12311338-Reviews-B_O_r_G_O-Florence_Tuscany.html
283,Note Di Vino,"4,5 ",875 recensioni,€€-€€€,,,"Borgo dei Greci, 4/6r Piazza Santa Croce, 50122, Firenze Italia",+39 334 856 8706,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d1753675-Reviews-Note_Di_Vino-Florence_Tuscany.html
284,Mister Pizza,"4,5 ",985 recensioni,€,,,"Via Pietrapiana, 82/R, 50121, Firenze Italia",+39 055 386 0311,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d2437478-Reviews-Mister_Pizza-Florence_Tuscany.html
285,I'Tuscani 2,"4,5 ",3.197 recensioni,€€-€€€,,,"Via de Federighi 37/R, 50123, Firenze Italia",+39 055 906 5507,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d8319466-Reviews-I_Tuscani_2-Florence_Tuscany.html
286,Mister Pizza - Piazza Del Duomo,"4,5 ",2.741 recensioni,€,,,"Piazza del Duomo 5r, 50122, Firenze Italia",+39 055 238 2263,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d3916092-Reviews-Mister_Pizza-Florence_Tuscany.html
287,Osteria Filetto d'Oro,"4,5 ",280 recensioni,€€-€€€,,,"Via dei Neri, 48r, 50122, Firenze Italia",+39 055 1999 0472,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d13763328-Reviews-Osteria_Filetto_d_oro-Florence_Tuscany.html
288,Ke Ci Metto? Schiacciate e Vino,"4,5 ",171 recensioni,€,,,"Borgo la Croce 52/R, 50121, Firenze Italia",+39 329 592 1160,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d3978436-Reviews-Ke_Ci_Metto_Schiacciate_e_Vino-Florence_Tuscany.html
289,Braceria Bisteccheria Ristorante Santa Maria Novella,"4,5 ",1.663 recensioni,€€-€€€,,,"Via della Scala, 8 Blu, 50123, Firenze Italia",+39 055 073 5481,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d9568819-Reviews-Braceria_Bisteccheria_Ristorante_Santa_Maria_Novella-Florence_Tuscany.html
290,Al Duomo,"4,5 ",1.443 recensioni,€€-€€€,,,"Via Dei Servi 9 A pochi passi dal Duomo, 50122, Firenze Italia",+39 055 906 1372,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d13272532-Reviews-Al_Duomo-Florence_Tuscany.html
291,Ristorante Cacio Vino Trallala',"4,5 ",1.202 recensioni,€€-€€€,,,"Borgo Santi Apostoli, 29/R, 50123, Firenze Italia",+39 055 215558,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d3748293-Reviews-Cacio_Vino_Trallalla-Florence_Tuscany.html
292,L'Osteria - Cucina Casalinga,"4,5 ",294 recensioni,€€-€€€,,,"Via Dei Neri 12r Firenze, Centro Storico, Piazza Signoria, 50122, Firenze Italia",+39 055 239 8487,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d17406201-Reviews-L_Osteria_Cucina_Casalinga-Florence_Tuscany.html
293,I'Tuscani 3,"4,5 ",1.348 recensioni,€€-€€€,,,"Via Dante Alighieri 18R, 50122, Firenze Italia",+39 055 285356,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d11946532-Reviews-I_Tuscani_3-Florence_Tuscany.html
294,IL BARRETTO,"4,5 ",1.021 recensioni,€€€€,,,"Via del Parione 50/r, 50123, Firenze Italia",+39 055 294122,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d2433001-Reviews-Il_Barretto-Florence_Tuscany.html
295,Mangia Pizza,"4,5 ",1.485 recensioni,€,,,"Via Lambertesca, 24, 50122, Firenze Italia",+39 055 287595,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d6580845-Reviews-Mangia_Pizza_Firenze-Florence_Tuscany.html
296,La Fettunta,"4,5 ",4.082 recensioni,€,,,"Via dei Neri, 72/R, 50122, Firenze Italia",+39 055 274 1102,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d3879133-Reviews-La_Fettunta-Florence_Tuscany.html
297,Robiglio - Via dei Servi,"4,5 ",238 recensioni,€€-€€€,,,"Via dei Servi 112/r, 50122, Firenze Italia",+39 055 212784,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d3201041-Reviews-Robiglio_Via_dei_Servi-Florence_Tuscany.html
298,Osteria de'Cicalini,"4,5 ",233 recensioni,€€-€€€,,,"Via Delle Oche 15 Rosso, 50122, Firenze Italia",+39 055 205 2610,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d13218811-Reviews-Osteria_de_Cicalini-Florence_Tuscany.html
299,Beer House Club,"4,5 ",516 recensioni,€,,,"Corso Dei Tintori 31/R, 50122, Firenze Italia",+39 055 247 6763,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d4546534-Reviews-Beer_House_Club-Florence_Tuscany.html
300,Alimentari del Chianti,"4,5 ",154 recensioni,€€-€€€,,,"Piazza de Pitti 3R, 50125, Firenze Italia",+39 392 600 9459,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d11644228-Reviews-Alimentari_del_Chianti-Florence_Tuscany.html
301,Pizzeria I Camaldoli,"4,5 ",875 recensioni,€€-€€€,,,"Piazza Del Mercato Centrale 14/r, 50123, Firenze Italia",+39 055 268407,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d12395952-Reviews-Pizzeria_I_Camaldoli-Florence_Tuscany.html
302,Occomè,"4,5 ",142 recensioni,€,,,"Piazza Lorenzo Ghiberti 43r, 50122, Firenze Italia",+39 335 608 4340,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d15242630-Reviews-Occome-Florence_Tuscany.html
303,Gustavino Piazza Signoria,"4,5 ",4.674 recensioni,€€-€€€,,,"Via della Condotta 37 A pochi passi dalla Piazza della Signoria, 50123, Firenze Italia",+39 055 239 9806,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d1088272-Reviews-Gustavino_Piazza_Signoria-Florence_Tuscany.html
304,Le Volpi e L'Uva,"4,5 ",1.053 recensioni,€€-€€€,,,"Piazza Dei Rossi 1, 50125, Firenze Italia",+39 055 239 8132,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d1034478-Reviews-Le_Volpi_e_L_Uva-Florence_Tuscany.html
305,Cinto - Cucina in Torre,"4,5 ",278 recensioni,€€-€€€,,,"Via Palmieri 35/37 R, 50122, Firenze Italia",+39 055 245430,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d10227517-Reviews-Cinto_Cucina_in_Torre-Florence_Tuscany.html
306,Panorama Restaurant La Scaletta,"4,5 ",341 recensioni,€€-€€€,,,"Via Dei Guicciardini 13 Terraza dell'Hotel La Scaletta, 50125, Firenze Italia",+39 055 283028,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d8076916-Reviews-Panorama_Restaurant_La_Scaletta-Florence_Tuscany.html
307,Il Maccheroncino Cibo e Vino,"4,5 ",192 recensioni,€€-€€€,,,"Via R.Giuliani, 43/R, 50134, Firenze Italia",+39 320 381 4420,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d10193010-Reviews-Il_Maccheroncino_Cibo_e_Vino-Florence_Tuscany.html
308,Alimentari Uffizi,"4,5 ",732 recensioni,€,,,"Via Lambertesca 10r, 50100, Firenze Italia",+39 055 281089,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d6748181-Reviews-Alimentari_Uffizi-Florence_Tuscany.html
309,Pizza Man De Amicis,"4,5 ",597 recensioni,€,,,"Viale De Amicis 47/R, 50137, Firenze Italia",+39 055 051 0049,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d3463751-Reviews-Pizza_Man_De_Amicis-Florence_Tuscany.html
310,Marina Di Santo Spirito,"4,5 ",231 recensioni,€€-€€€,,,"Via Maffia 1/C, 50125, Firenze Italia",+39 338 284 4182,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d10373584-Reviews-Marina_Di_Santo_Spirito-Florence_Tuscany.html
311,Officina Streetfood Firenze,"4,5 ",483 recensioni,€€-€€€,,,"Via Dei Neri 20r, 50122, Firenze Italia",+39 055 280833,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d12912013-Reviews-Officina_Streetfood_Firenze-Florence_Tuscany.html
312,Trattoria Osteria Da Que' Ganzi,"4,5 ",2.151 recensioni,€€-€€€,,,"Via Ghibellina 70/r VICINO PIAZZA SANTACROCE, 50122, Firenze Italia",+39 055 226 0010,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d1580679-Reviews-Da_Que_Ganzi_Trattoria_Osteria-Florence_Tuscany.html
313,La Bottega del Buon Caffe',"4,5 ",939 recensioni,€€€€,,,"Lung'Arno Benvenuto Cellini, 69/R, 50125, Firenze Italia",+39 055 553 5677,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d7267872-Reviews-La_Bottega_del_Buon_Caffe-Florence_Tuscany.html
314,Buca Niccolini,"4,5 ",830 recensioni,€€-€€€,,,"Via Ricasoli 5-7r, 50122, Firenze Italia",+39 055 292124,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d2480890-Reviews-Buca_Niccolini-Florence_Tuscany.html
315,I Fratellini,"4,5 ",2.806 recensioni,€,,,"Via Dei Cimatori 38/r, 50122, Firenze Italia",+39 055 239 6096,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d696584-Reviews-I_Fratellini-Florence_Tuscany.html
316,La Boite,"4,5 ",138 recensioni,€,,,"Piazza di San Paolino 3/R, 50123, Firenze Italia",+39 055 213928,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d7603323-Reviews-La_Boite-Florence_Tuscany.html
317,Amalfi al Duomo,"4,5 ",262 recensioni,€€-€€€,,,"Via De' Martelli 30 Piazza del duomo, 50122, Firenze Italia",+39 055 614 3634,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d17611482-Reviews-Amalfi_al_Duomo-Florence_Tuscany.html
318,I'Pizzacchiere,"4,5 ",2.153 recensioni,€,,,"Via San Miniato 2, 50125, Firenze Italia",+39 055 246 6332,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d3492987-Reviews-I_Pizzacchiere-Florence_Tuscany.html
319,Da' Vinattieri,"4,5 ",899 recensioni,€,,,"Via Santa Margherita 4R, 50100, Firenze Italia",+39 392 734 5773,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d2437980-Reviews-Da_Vinattieri-Florence_Tuscany.html
320,Il Panino del Chianti,"4,5 ",843 recensioni,€,,,"Via De' Bardi 63/r, 50125, Firenze Italia",+39 055 239 8831,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d2095509-Reviews-Il_Panino_del_Chianti-Florence_Tuscany.html
321,Boccadarno,"4,5 ",508 recensioni,€€-€€€,,,"Via di San Niccolò 56 R, 50125, Firenze Italia",+39 055 386 0860,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d7306854-Reviews-Boccadarno-Florence_Tuscany.html
322,Trattoria dall'Oste,"4,5 ",6.654 recensioni,€€-€€€,,,"Via Luigi Alamanni 3/5r borgo san lorenzo 31, 50100, Firenze Italia",+39 055 212048,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d1801863-Reviews-Trattoria_dall_Oste_Toscan_kitchen-Florence_Tuscany.html
323,La Scarpetta,"4,5 ",354 recensioni,€€-€€€,,,"Via del Ponte Sospeso 7R, 50142, Firenze Italia",+39 055 512 1510,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d12231545-Reviews-La_Scarpetta-Florence_Tuscany.html
324,Cuculia - Ristorante,"4,5 ",998 recensioni,€€-€€€,,,"Via dei Serragli, 3/R, 50124, Firenze Italia",+39 055 277 6205,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d1747120-Reviews-Cuculia_Ristorante-Florence_Tuscany.html
325,Club Culinario Toscano da Osvaldo,"4,5 ",1.746 recensioni,€€-€€€,,,"Piazza dei Peruzzi 3r, 50122, Firenze Italia",+39 055 217919,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d1024863-Reviews-Club_Culinario_Toscano_da_Osvaldo-Florence_Tuscany.html
326,Trattoria Roberto,"4,5 ",735 recensioni,€€-€€€,,,"Via De' Castellani 4, 50122, Firenze Italia",+39 055 218822,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d1159706-Reviews-Trattoria_Roberto-Florence_Tuscany.html
327,Il Vivandiere,"4,5 ",723 recensioni,€€-€€€,,,"Via Torta 6, 50122, Firenze Italia",+39 055 200 1222,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d12159117-Reviews-Il_Vivandiere-Florence_Tuscany.html
328,Fuoco Matto,"4,5 ",3.950 recensioni,€€-€€€,,,"Via Ventisette Aprile, 16, 50129, Firenze Italia",+39 055 495140,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d7942468-Reviews-Fuoco_Matto-Florence_Tuscany.html
329,Malborghetto,"4,5 ",210 recensioni,€,,,"Via dei Macci, 76/R, 50122, Firenze Italia",+39 055 246 6446,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d5954059-Reviews-Malborghetto-Florence_Tuscany.html
330,Trattoria La Gratella,"4,5 ",1.186 recensioni,€€-€€€,,,"Via Guelfa, 81R Centro Storico, Via Faenza, Fortezza Da Basso, Duomo, 50129, Firenze Italia",+39 055 211292,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d1174489-Reviews-Trattoria_La_Gratella-Florence_Tuscany.html
331,Il Desco Bistrot,"4,5 ",1.281 recensioni,€€-€€€,,,"Via Cavour, 27, 50129, Firenze Italia",+39 055 288330,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d1909826-Reviews-Il_Desco_Bistro-Florence_Tuscany.html
332,Casella 18,"4,5 ",326 recensioni,€€-€€€,,,"Via Santa Elisabetta 18, 50122, Firenze Italia",+39 055 285595,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d11997690-Reviews-Casella_18-Florence_Tuscany.html
333,Il Palagio - Four Seasons Hotel,"4,5 ",988 recensioni,€€€€,,,"Borgo Pinti 99, 50121, Firenze Italia",+39 055 26261,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d2182569-Reviews-Il_Palagio_Four_Seasons_Hotel-Florence_Tuscany.html
334,L'insolita Trattoria Tre Soldi,"4,5 ",595 recensioni,€€-€€€,,,"Via Gabriele d'Annunzio 4 r/a, 50135, Firenze Italia",+39 055 679366,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d1947817-Reviews-L_insolita_Trattoria_Tre_Soldi-Florence_Tuscany.html
335,Vaia Concept Store,"4,5 ",270 recensioni,€€-€€€,,,"Via Giampaolo Orsini 101R angolo via di Ricorboli, 50123, Firenze Italia",+39 055 094 6627,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d11668034-Reviews-Vaia_Concept_Store-Florence_Tuscany.html
